name;grande_comando;estado;pais;
CABE;COMGAP SP;OUTROS;REINO UNIDO;
CABW;COMGAP SP;-;ESTADOS UNIDOS;
CCA BR;COMGAP SP;DF;BRASIL;
CO-AN;COMGAP SP;GO;BRASIL;
DT-INFRA BR;COMGAP SP;DF;BRASIL;
GAC INFRA-AN;COMGAP SP;GO;BRASIL;
MTAB;COMGAP SP;-;PARAGUAI;
RECABI;COMGAP SP;-;ITµLIA;
COMGEP;COMGEP;DF;BRASIL;
DIRENS;COMGEP;DF;BRASIL;
ES-AN;COMGEP;GO;BRASIL;
HFAB;COMGEP;DF;BRASIL;
OABR;COMGEP;DF;BRASIL;
SEREP-BR;COMGEP;DF;BRASIL;
TRF1;COMGEP;DF;BRASIL;
1 BDAAE;COMPREP;DF;BRASIL;
1 GDA;COMPREP;GO;BRASIL;
1 GTT AN;COMPREP;GO;BRASIL;
1/6 GAV;COMPREP;GO;BRASIL;
2/6 GAV;COMPREP;GO;BRASIL;
3 GDAAE;COMPREP;GO;BRASIL;
6 ETA;COMPREP;DF;BRASIL;
ALA 1;COMPREP;DF;BRASIL;
ALA 2;COMPREP;GO;BRASIL;
BAAN;COMPREP;GO;BRASIL;
BABR;COMPREP;DF;BRASIL;
BINFAE BR;COMPREP;DF;BRASIL;
COMPREP;COMPREP;DF;BRASIL;
CPBV;COMPREP;DF;BRASIL;
CPBV;COMPREP;PA;BRASIL;
DESTAE-CC;COMPREP;PA;BRASIL;
GSD-BR;COMPREP;DF;BRASIL;
VI COMAR;COMPREP;DF;BRASIL;
CPO;CPO;DF;BRASIL;
CCISE;DCTA;DF;BRASIL;
COPAC;DCTA;DF;BRASIL;
CINDACTA I;DECEA;DF;BRASIL;
DTCEA-AN;DECEA;GO;BRASIL;
DTCEA-BR;DECEA;DF;BRASIL;
DTCEA-BW;DECEA;MT;BRASIL;
DTCEA-CY;DECEA;MT;BRASIL;
DTCEA-EP;DECEA;MT;BRASIL;
DTCEA-FA;DECEA;MT;BRASIL;
DTCEA-GA;DECEA;DF;BRASIL;
DTCEA-GI;DECEA;MT;BRASIL;
DTCEA-SI;DECEA;MT;BRASIL;
DTS;DECEA;DF;BRASIL;
AD AFR SUL;EMAER;-;µFRICA DO SUL;
AD ALEMANH;EMAER;-;ALEMANHA;
AD ARGENT;EMAER;-;ARGENTINA;
AD BOLIVIA;EMAER;-;BOL÷VIA;
AD CHILE;EMAER;-;CHILE;
AD CHINA;EMAER;-;CHINA;
AD COLOMB;EMAER;-;COL‚MBIA;
AD EEUU;EMAER;-;ESTADOS UNIDOS;
AD EQUADOR;EMAER;-;EQUADOR;
AD FRANCA;EMAER;-;FRANÄA;
AD INDONE;EMAER;-;INDONêSIA;
