id;name;grande_comando;estado;pais;
344;SEREP-CO;COMGEP;RS;BRASIL;
345;1 GDAAE;COMPREP;RS;BRASIL;
346;1/10 GAV;COMPREP;RS;BRASIL;
347;1/12 GAV;COMPREP;RS;BRASIL;
348;1/14 GAV;COMPREP;RS;BRASIL;
349;2/7 GAV;COMPREP;RS;BRASIL;
350;3/10 GAV;COMPREP;RS;BRASIL;
351;5 ETA;COMPREP;RS;BRASIL;
352;5/8 GAV;COMPREP;RS;BRASIL;
353;ALA 3;COMPREP;RS;BRASIL;
354;ALA 4;COMPREP;RS;BRASIL;
355;BACO;COMPREP;RS;BRASIL;
356;BASM;COMPREP;RS;BRASIL;
357;BINFAE CO;COMPREP;RS;BRASIL;
358;CMPA;COMPREP;RS;BRASIL;
359;CMSM;COMPREP;RS;BRASIL;
360;GSD-CO;COMPREP;RS;BRASIL;
361;V COMAR;COMPREP;RS;BRASIL;
362;GAC PAC-SCP_SIS;DCTA;RS;BRASIL;
363;2/1 GCC;DECEA;RS;BRASIL;
364;4/1 GCC;DECEA;RS;BRASIL;
365;CINDACTA II;DECEA;PR;BRASIL;
366;DTCEA-BI;DECEA;PR;BRASIL;
367;DTCEA-CGU;DECEA;RS;BRASIL;
368;DTCEA-CO;DECEA;RS;BRASIL;
369;DTCEA-CT;DECEA;PR;BRASIL;
370;DTCEA-CTD;DECEA;PR;BRASIL;
371;DTCEA-FI;DECEA;PR;BRASIL;
372;DTCEA-FL;DECEA;SC;BRASIL;
373;DTCEA-MDI;DECEA;SC;BRASIL;
374;DTCEA-PA;DECEA;RS;BRASIL;
375;DTCEA-SM;DECEA;RS;BRASIL;
376;DTCEA-STI;DECEA;RS;BRASIL;
377;DTCEA-UG;DECEA;RS;BRASIL;
378;1¶AUD/3¶CJM/RS;EMAER;RS;BRASIL;
379;3 CJM;GABAER;RS;BRASIL;
380;5 CJM;GABAER;PR;BRASIL;
381;BAFL;SEFA;SC;BRASIL;
382;GAP CO;SEFA;RS;BRASIL;
383;GAP CT;SEFA;PR;BRASIL;
384;GAP SM;SEFA;RS;BRASIL;
385;PACO;SEFA;RS;BRASIL;
386;PACT;SEFA;PR;BRASIL;
387;PASM;SEFA;RS;BRASIL;
388;1VF/CANOAS;-;RS;BRASIL;
389;1VF/PR;-;PR;BRASIL;
390;1VF/SANTA MARIA;-;RS;BRASIL;
391;3VF/SM;-;RS;BRASIL;
392;9VF/PR;-;PR;BRASIL;
393;9VF/RS;-;RS;BRASIL;
394;AUD/5¶CJM/BL;-;SC;BRASIL;
395;CMCR;-;PR;BRASIL;
396;ASPAER;ASPAER;DF;BRASIL;
397;CECOMSAER;CECOMSAER;DF;BRASIL;
398;CENCIAR;CENCIAR;DF;BRASIL;
399;CENIPA;CENIPA;DF;BRASIL;
400;SERIPA VI;CENIPA;DF;BRASIL;
401;CIAER;CIAER;DF;BRASIL;
402;COMAE;COMAE;DF;BRASIL;
403;COPE-P;COMAE;DF;BRASIL;
404;CABE;COMGAP SP;OUTROS;REINO UNIDO;
405;CABW;COMGAP SP;-;ESTADOS UNIDOS;
406;CCA BR;COMGAP SP;DF;BRASIL;
407;CO-AN;COMGAP SP;GO;BRASIL;
408;DT-INFRA BR;COMGAP SP;DF;BRASIL;
409;GAC INFRA-AN;COMGAP SP;GO;BRASIL;
410;MTAB;COMGAP SP;-;PARAGUAI;
411;RECABI;COMGAP SP;-;ITµLIA;
412;COMGEP;COMGEP;DF;BRASIL;
413;DIRENS;COMGEP;DF;BRASIL;
414;ES-AN;COMGEP;GO;BRASIL;
415;HFAB;COMGEP;DF;BRASIL;
416;OABR;COMGEP;DF;BRASIL;
417;SEREP-BR;COMGEP;DF;BRASIL;
418;TRF1;COMGEP;DF;BRASIL;
419;1 BDAAE;COMPREP;DF;BRASIL;
420;1 GDA;COMPREP;GO;BRASIL;
421;1 GTT AN;COMPREP;GO;BRASIL;
422;1/6 GAV;COMPREP;GO;BRASIL;
423;2/6 GAV;COMPREP;GO;BRASIL;
424;3 GDAAE;COMPREP;GO;BRASIL;
425;6 ETA;COMPREP;DF;BRASIL;
426;ALA 1;COMPREP;DF;BRASIL;
427;ALA 2;COMPREP;GO;BRASIL;
428;BAAN;COMPREP;GO;BRASIL;
429;BABR;COMPREP;DF;BRASIL;
430;BINFAE BR;COMPREP;DF;BRASIL;
431;COMPREP;COMPREP;DF;BRASIL;
432;CPBV;COMPREP;DF;BRASIL;
433;CPBV;COMPREP;PA;BRASIL;
434;DESTAE-CC;COMPREP;PA;BRASIL;
435;GSD-BR;COMPREP;DF;BRASIL;
436;VI COMAR;COMPREP;DF;BRASIL;
